"Book No.","Order ref:","Rental No.","Book Name","Book Status","Date","Time","Action","Reg No.","Supp'd Grp","Drivers","Delivery","Collection","Notes"
"#35707611","NWBA1CDF69","8072841","NATIONWIDE HIRE UK","ON HIRE","28/11/2025","18:00","Collect","SL70LDV","C.F4","","B92 0AE***TOWBAR***","B92 0AE - EXT BEFORE","04/12/2025 (mo) 1315 Chasing Collection of the Vehicle"
"#35990436","NW01052883","","NATIONWIDE HIRE UK","BOOKING","08/12/2025","17:30","Deliver","YP71VGZ","C.F4","","GL15 6BB","GL15 6BB","MOT due"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"#35732685","NW60F2F813","","NATIONWIDE HIRE UK","BOOKING","08/12/2025","08:30","Deliver","MK22EEA","V3","","ME17 4HW","ME17 4HW","FELTHAM"
"#35329095","NW6D805830","8073122","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","10:00","Collect","BC23OFR","V3","","ME18 5HA","ME18 5HA",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"#35826739","NW95007D49","","NATIONWIDE HIRE UK","BOOKING","08/12/2025","08:30","Deliver","BJ23XKS","D.B9","","TN17 4DN","TN17 4DN","FELTHAM"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"#35885448","NW0EE68549","","NATIONWIDE HIRE UK","BOOKING","08/12/2025","08:30","Deliver","CK21YPD","V3","","SP4 0ES","SP4 0ES","FELTHAM"
"#35223620","NW58025E50","8072336","NATIONWIDE HIRE UK","ON HIRE","03/11/2025","12:00","Collect","CJ23VZV","V1","","SP4 7FG","SP4 7FG","03/11/2025 1523 [JET]: As not collected, van now moved to public rosd outside 17 Kitchenor Road, Amesbury SP4 7AA.. Keys on top of nearside front tyre"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"#35873727","NW2A0B0054","","NATIONWIDE HIRE UK","BOOKING","08/12/2025","08:30","Deliver","YP21XGZ","C.F4","","RG24 8FW","RG24 8FW","at Paice EML on"
"#35612840","NW6ECDE421","8072875","NATIONWIDE HIRE UK","ON HIRE","28/11/2025","08:30","Collect","BK22YWV","V3","","RG20 9XN*REHIRE*","RG20 9XN",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"#35991493","NWB57DF366","","NATIONWIDE HIRE UK","BOOKING","08/12/2025","08:30","Deliver","WN21UHB","V5TDC","","SA7 0AP","SA7 0AP","at Putney"
"","","","","","","","","","","","","",""
"#35887276","NW9171E646","8073053","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","BW23VXP","V4","","NW4 2PN","NW4 2PN",""
"#35927227","NWE5C06141","","NATIONWIDE HIRE UK","BOOKING","08/12/2025","09:00","Deliver","BC23KXF","V3","","EC1Y 2BQ","EC1Y 2BQ","COLL PO12 3UB"
"","","","","","","","","","","","","",""
"#35979670","NW23AE6080","","NATIONWIDE HIRE UK","BOOKING","08/12/2025","08:30","Deliver","PO69XHZ","VH44T","","RG40 3BU","RG40 3BU","SORN Nottingham"
"#35826723","NWEB5ED248","3008658","NATIONWIDE HIRE UK","ON HIRE","05/12/2025","08:30","Collect","YT68ECD","VH18B","","NG15 7TP","RG40 3LY","same place as above"
"","","","","","","","","","","","","",""
"#35887271","NW9C239A46","","NATIONWIDE HIRE UK","BOOKING","08/12/2025","09:00","Deliver","MK72FWE","V3","","E17 6AL","E17 6AL","at Putney"
"#35779477","NW801FF670","8072931","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","HK23DWU","V2","","E11 4EP","E11 4EP",""
"","NW951A4B53","","NATIONWIDE HIRE UK","BOOKING","08/12/2025","13:00","Deliver","","V2","","NW2 2EB","NW2 2EB",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"#35916819","NWF823CA40","","NATIONWIDE HIRE UK","BOOKING","08/12/2025","09:00","Deliver","HG21EZB","E.A17>D.B9A","","PO3 5JP","PO3 5JP","FELTHAM"
"#35811898","NWD3F64888","6028825","NATIONWIDE HIRE UK","ON HIRE","06/12/2025","08:30","Collect","BC23KXF","V3","","PO12 3UB","PO12 3UB","06/12/2025 0820 [ED]: FRONT TYRE IS TOTALLY FLAT - DIAL-A-TYRE GOSPORT GOING OUT ON MONDAY"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"#35843832","NWA00BF197","8072980","NATIONWIDE HIRE UK","ON HIRE","06/12/2025","12:00","Collect","YS23PUF","V5D","","HP18 9UB","HP18 9UB",""
"#35927198","NW5E258428","","NATIONWIDE HIRE UK","BOOKING","08/12/2025","08:30","Deliver","YS23PUF","V5D","","SO51 9BE","SO51 9BE","COLL HP18 9UB"
"","","","","","","","","","","","","",""
"#35916813","NWE0E6DA37","8073072","NATIONWIDE HIRE UK","ON HIRE","04/12/2025","17:30","Collect","YS23PVJ","V5D","","RM19 1GD","RM19 1GD",""
"#35937464","NWB1F01010","","NATIONWIDE HIRE UK","BOOKING","08/12/2025","08:30","Deliver","YS23PLJ","V5D","","MK6 1NE","MK6 1NE","at Putney"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"#35979693","NW23BEDA13","","NATIONWIDE HIRE UK","BOOKING","08/12/2025","15:00","Deliver","MJ24NYM","V5D","","BR8 8DX","BR8 8DX","extended"
"","","","","","","","","","","","","",""
"#35978048","","","ORESCANIN","BOOKING","08/12/2025","12:00","","MW73GVO","V4","","","","CF 06/12 MW73GVU RTN IN CARLTON SUNDAY"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"#35740690","NW7197E878","8073094","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","MK22EET","V3","","B42 1ES*PRE-DELIVERY*","B42 1ES",""
"#35765767","NW63B9FA45","8073119","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","BW23VVB","V4","","RG12 7WZ","RG12 7WZ",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"#35689913","NW5A920975","6028872","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","RK21YVH","V2A","","OX7 5YN","OX7 5YN",""
"#35887288","NW6E2DB369","8073074","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","CK23UXO","V2","","B31 5BS*PRE-DELIVERY*","B31 5BS",""
"#35885410","NWB29F3793","6028860","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","WR22XKV","D.B9A","","TA3 5JW*PRE-DELIVERY*","TA3 5JW",""
"#35874233","NW9D95E367","8073061","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","BK71HRZ","V2","","TA2 6LY*PRE-DELIVERY*","TA2 6LY",""
"#35752138","NWC9419424","8073132","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","OU72VPT","V5","","CB7 4RE*PRE-DELIVERY*","CB7 4RE",""
"#35873713","NWFA48FD41","8073114","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","BJ73DGF","V3","","PE13 4JW*PRE-DELIVERY*EU*","PE13 4JW",""
"#35885441","NW3CABA329","8073115","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","MD72DZA","V5","","CF14 4EJ*PRE-DELIVERY*","CF14 4EJ",""
"#35873720","NW7A9EC097","6028869","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","BX25SKJ","E.A17","","IG5 0BP**PREDEL**","IG5 0BP",""
"#35897744","NWB1A05E23","6028867","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","CK71MYN","V2","","SN16 9QL*PRE-DELIVERY*","SN16 9QL",""
"#35666759","NW3935BE32","8073076","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","KU18EEA","VH18B","","CA4 8QD*PRE-DELIVERY*","TN25 4HF",""
"#35659101","NWDCA3B582","6028783","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","OU72VPD","V5","","SW19 8HQ","SW19 8HQ - EXT BEFORE",""
"#35836672","NW77BF1461","8073108","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","HN72WXE","V5","","OX3 9LQ*PRE-DELIVERY*","OX3 9LQ",""
"#35843822","NWEEA20B35","8073031","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","BJ71CSO","V2","","NP7 6LG","NP7 6LG",""
"#35910140","NWD3406D64","8073077","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","LN24OKF","V4","","WD6 4RN","WD6 4RN",""
"#35897796","NWE036F567","8073135","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","HN73PJY","E.B17","","CF32 8TA","CF32 8TA",""
"#35916797","NW2BDD6D77","8073136","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:30","Collect","MW73GVG","V4","","HR2 6JU","HR2 6JU",""
"","","","","","","","","","","","","",""
"#35897776","NW7224DD20","8073030","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","08:45","Collect","CF24LUD","C.F3","","CM16 7PS","CM16 7PS - EXT BEFORE",""
"#35811886","NW731FCE42","8073104","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","09:00","Collect","CK71MYL","V2","","IG7 6ET","IG7 6ET",""
"#34909574","NW4D2D7E16","8073143","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","09:00","Collect","CA24AWJ","V3","","BR2 8LH","BR2 8LH",""
"","","","","","","","","","","","","",""
"#35836667","NW13872C85","8073111","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","09:30","Collect","RA73UDK","V2A","","W13 9DS","W13 9DS",""
"","","","","","","","","","","","","",""
"#35772913","NWF3D00876","8073148","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","10:00","Collect","MJ23NTE","V5","","SW6 3NN","SW6 3NN",""
"#35703901","NW94E96447","8072997","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","10:00","Collect","ML23LGW","V5","","TW14 0HS","TW14 0HS",""
"#35807695","NW71EBC539","8073069","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","10:30","Collect","BJ23XVF","D.B9A","","PE19 8JH*PRE-DELIVERY*","PE19 8JH",""
"#35818685","NW802B1B92","8073113","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","10:30","Collect","HN73PKK","E.B17","","PE19 8TP","PE19 8TP",""
"#35353654","NW4A680C57","8072555","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","11:30","Collect","WN21UGZ","V5TDC","","SO18 5HU","SO18 5HU - EXT BEFORE",""
"#35683080","NW6EE92288","8073067","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","11:45","Collect","BJ23KAO","D.B9A","","DY2 8UB","DY2 8UB",""
"#35877181","NWD5584568","8073029","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","12:00","Collect","CF21RVL","V2","","NP7 6LG","NP7 6LG",""
"#35451807","NW894E9574","8072534","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","12:00","Collect","YF24ASO","V5D","","HA7 1QA","HA7 1QA - EXT BEFORE",""
"#35877138","NW3A90EE42","8073016","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","12:00","Collect","CK74EWU","C.F3","","OX29 8FX","OX29 8FX",""
"#35960046","NW82DAFD63","8073126","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","12:00","Collect","LN24CWX","V4","","IG5 0PU","IG5 0PU",""
"#35169779","NW60F43539","8073120","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","13:30","Collect","MF74OHL","V4A","","SO51 7NR","SO51 7NR",""
"#35937452","NW1431AD36","8073125","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","15:00","Collect","SM73ZRJ","V2","","CT18 7DN*REHIRE*","CT18 7DN",""
"#35901653","397919","8073044","ASSURED VEHICLE RENTALS","ON HIRE","08/12/2025","15:00","Collect","LD23ZUS","V1A","","SS16 4TJ","SS16 4TJ",""
"#35873675","NWB8F10323","8073014","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","16:30","Collect","OU72VSP","V5","","N16 5LG","N16 5LG",""
"#35877160","NW1AB9DF97","8073052","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","16:30","Collect","BK73HJC","V3","","N10 1DU","N10 1DU",""
"#35910134","NW2BD63D49","8073042","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","17:00","Collect","SM73ZRF","V2","","B63 2LT","B63 2LT - EXT BEFORE",""
"#35745047","NW08BD5472","8073097","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","17:30","Collect","HV23ZXK","E.B17","","RG21 5UH","RG21 5UH",""
"#24674678","378768","8059339","ASSURED VEHICLE RENTALS","ON HIRE","08/12/2025","17:30","Collect","LB23ESJ","V1A","","ME4 4SR","TBA",""
"#35683043","NW3DEF3442","6028856","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","17:30","Collect","WU24CYV","V75BT","","BN12 6HG","BN12 6HG",""
"#35990443","NWCA2AC248","8073134","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","17:30","Collect","LD70VBG","C.F4","","PE12 9AG","PE12 9AG",""
"#35302137","NW384ED474","6028661","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","18:00","Collect","HK71YTJ","V5D","","HA1 4TY","HA1 4TY",""
"#35854119","NW59B1AA26","6028846","NATIONWIDE HIRE UK","ON HIRE","08/12/2025","18:00","Collect","KV73AOU","C.F4","","BS8 1HP","BS8 1HP - EXT BEFORE",""
"HG21EZB","","","","","","","","","","","","",""
