job_driver,date,time,action,booking_ref,vehicle_reg,vehicle_group,location_postcode,customer_name,arrival_time,transport_mode,transport_cost_gbp,transport_time_min,customer_approval_required,notes
D012,2025-12-08,10:00,Collect,#35329095,BC23OFR,V3,ME18 5HA,,00:00,transit,0.00,0,no,
D012,2025-12-08,15:00,Deliver,#35979693,MJ24NYM,V5D,BR8 8DX,,00:00,transit,4.45,44,no,extended
D012,2025-12-08,08:30,Collect,#35873720,BX25SKJ,E.A17,IG5 0BP,,00:00,transit,4.18,41,no,
D012,2025-12-08,09:00,Collect,#35811886,CK71MYL,V2,IG7 6ET,,00:00,transit,0.00,0,no,
D012,2025-12-08,09:00,Collect,#34909574,CA24AWJ,V3,BR2 8LH,,00:00,transit,4.18,41,no,
D012,2025-12-08,15:00,Collect,#35937452,SM73ZRJ,V2,CT18 7DN,,00:00,transit,15.04,150,no,
D014,2025-12-06,12:00,Collect,#35843832,YS23PUF,V5D,HP18 9UB,,00:00,transit,24.38,243,no,
D014,2025-12-08,17:30,Deliver,#35990436,YP71VGZ,C.F4,GL15 6BB,,00:00,transit,21.71,217,no,MOT due
D014,2025-12-08,08:30,Deliver,#35937464,YS23PLJ,V5D,MK6 1NE,,00:00,transit,7.55,75,no,at Putney
D014,2025-12-08,08:30,Collect,#35689913,RK21YVH,V2A,OX7 5YN,,00:00,transit,9.38,93,no,
D014,2025-12-08,08:30,Collect,#35885410,WR22XKV,D.B9A,TA3 5JW,,00:00,transit,30.32,303,no,
D014,2025-12-08,08:30,Collect,#35874233,BK71HRZ,V2,TA2 6LY,,00:00,transit,0.00,0,no,
D014,2025-12-08,08:30,Collect,#35752138,OU72VPT,V5,CB7 4RE,,00:00,transit,51.71,517,no,
D014,2025-12-08,08:30,Collect,#35897744,CK71MYN,V2,SN16 9QL,,00:00,transit,29.83,298,no,
D014,2025-12-08,08:30,Collect,#35836672,HN72WXE,V5,OX3 9LQ,,00:00,transit,8.42,84,no,
D014,2025-12-08,12:00,Collect,#35877138,CK74EWU,C.F3,OX29 8FX,,00:00,transit,0.00,0,no,
D016,2025-12-08,12:00,Collect,#35451807,YF24ASO,V5D,HA7 1QA - EXT BEFORE,,00:00,transit,1.74,17,no,
D016,2025-12-08,18:00,Collect,#35302137,HK71YTJ,V5D,HA1 4TY,,00:00,transit,0.00,0,no,
D017,2025-12-05,10:00,Collect,#35506851,OU72VPR,V5,UB7 0LQ,,00:00,transit,0.00,0,no,
D017,2025-12-08,08:30,Deliver,#35666720,WU24DLO,V75BT,UB5 5AW,,00:00,transit,1.60,16,no,USE RRV
D017,2025-12-08,08:30,Deliver,#35873727,YP21XGZ,C.F4,RG24 8FW,,00:00,transit,7.03,70,no,at Paice EML on
D019,2025-11-03,12:00,Collect,#35223620,CJ23VZV,V1,SP4 7FG,,00:00,transit,0.00,0,no,"03/11/2025 1523 [JET]: As not collected, van now moved to public rosd outside 17 Kitchenor Road, Amesbury SP4 7AA.. Keys on top of nearside front tyre"
D019,2025-11-28,08:30,Collect,#35612840,BK22YWV,V3,RG20 9XN,,00:00,transit,14.26,142,no,
D019,2025-12-05,08:30,Collect,#35826723,YT68ECD,VH18B,RG40 3LY,,00:00,transit,0.00,0,no,same place as above
D019,2025-12-08,08:30,Deliver,#35885448,CK21YPD,V3,SP4 0ES,,00:00,transit,20.72,207,no,FELTHAM
D019,2025-12-08,08:30,Deliver,#35979670,PO69XHZ,VH44T,RG40 3BU,,00:00,transit,0.00,0,no,SORN Nottingham
D019,2025-12-08,08:30,Collect,#35765767,BW23VVB,V4,RG12 7WZ,,00:00,transit,0.00,0,no,
D019,2025-12-08,17:30,Collect,#35745047,HV23ZXK,E.B17,RG21 5UH,,00:00,transit,0.00,0,no,
